id;partida_id;clube;cartao;atleta;posicao;minuto
13447;7685;Fortaleza;Vermelho;Felipe;Meio-campo;20
13448;7685;Fortaleza;Amarelo;Yago Pikachu;Meio-campo;57
13449;7685;Fortaleza;Amarelo;Lucas Rafael Ara£jo Lima;Meio-campo;27
13450;7685;Ceara;Amarelo;Lima;Meio-campo;55
13451;7685;Ceara;Amarelo;Richardson Fernandes dos Santos;Meio-campo;33
13452;7727;Athletico-PR;Amarelo;Nicol†s Hern†ndez;Zagueiro;8
13453;7727;Santos;Amarelo;Marcos Leonardo Santos Almeida;Atacante;53
13454;7728;Ceara;Amarelo;Rodrigo Lindoso;Meio-campo;90+3
13455;7728;Coritiba;Amarelo;Valdemir de Oliveira Soares;Meio-campo;45
13456;7728;Coritiba;Amarelo;Willian Farias;Meio-campo;15
13457;7729;Avai;Amarelo;Arthur Chaves;Zagueiro;49
13458;7729;Sao Paulo;Amarelo;Leonardo Pinheiro;Zagueiro;83
13459;7730;Atletico-GO;Amarelo;Edson;Zagueiro;49
13460;7730;Corinthians;Amarelo;Xavier;Meio-campo;90
13461;7730;Corinthians;Amarelo;F†bio Santos;Zagueiro;25
13462;7727;Athletico-PR;Amarelo;Hugo Moura;Meio-campo;83
13463;7727;Athletico-PR;Amarelo;Pablo Felipe Teixeira;Atacante;44
13464;7727;Santos;Amarelo;Jhojan Julio;Atacante;55
13465;7727;Santos;Amarelo;Auro;Zagueiro;39
13466;7728;Coritiba;Amarelo;Bernardo Lemes;Meio-campo;50
13467;7728;Coritiba;Amarelo;Nathan;Zagueiro;24
13468;7729;Avai;Amarelo;Bruno Cortàs;Zagueiro;90+8
13469;7729;Sao Paulo;Amarelo;Alisson Euler de Freitas Castro;Atacante;85
13470;7730;Atletico-GO;Amarelo;LÇo Pereira;Atacante;78
13471;7730;Atletico-GO;Amarelo;Jorginho;Meio-campo;45
13472;7730;Corinthians;Amarelo;R¢ger Guedes;Atacante;71
13473;7726;Cuiaba;Amarelo;AndrÇ Luis;Atacante;90+5
13474;7727;Athletico-PR;Amarelo;Tom†s Cuello;Meio-campo;69
13475;7727;Athletico-PR;Amarelo;Christian Roberto Alves Cardoso;Meio-campo;25
13476;7731;Fluminense;Vermelho;Gustavo Nonato Santana;Meio-campo;90+3
13477;7731;Juventude;Amarelo;Rodrigo Alves Soares;Zagueiro;73
13478;7731;Fluminense;Amarelo;John Kennedy;Atacante;90+1
13479;7731;Fluminense;Amarelo;Felipe Melo;Meio-campo;67
13480;7732;Flamengo;Amarelo;Bruno Henrique;Atacante;62
13481;7732;Flamengo;Amarelo;Pablo Castro;Zagueiro;43
13482;7732;Fortaleza;Amarelo;Anthony Land†zuri;Zagueiro;56
13483;7732;Fortaleza;Amarelo;Ronald;Meio-campo;30
13484;7733;Atletico-MG;Amarelo;Ot†vio Henrique Passos Santos;Meio-campo;70
13485;7733;Atletico-MG;Amarelo;Mariano Ferreira Filho;Zagueiro;33
13486;7734;Bragantino;Amarelo;Bruno Praxedes;Meio-campo;82
13487;7734;Internacional;Amarelo;Taison;Atacante;90+7
13488;7734;Internacional;Amarelo;Wanderson;Meio-campo;35
13489;7731;Juventude;Amarelo;Thalisson Kelven;Zagueiro;90+1
13490;7731;Juventude;Amarelo;William Matheus;Zagueiro;52
13491;7731;Fluminense;Amarelo;Manoel Messias Silva Carvalho;Zagueiro;82
13492;7731;Fluminense;Amarelo;Paulo Henrique Ganso;Meio-campo;52
13493;7732;Flamengo;Amarelo;David Luiz;Zagueiro;54
13494;7732;Fortaleza;Amarelo;Robson Fernandes;Atacante;71
